         6x5                      (6x5.dat)                                    09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
         5.0        0.88      0.7493      0.0380      0.0447       0.000       0.002       0.002                                                                          
         5.2        0.92      0.7319      0.0306      0.0384       0.000       0.002       0.001                                                                          
         5.4        0.95      0.6985      0.0231      0.0316       0.000       0.001       0.001                                                                          
         5.6        0.99      0.6279      0.0155      0.0244       0.000       0.001       0.001                                                                          
         5.8        1.03      0.4687      0.0078      0.0172       0.000       0.001       0.000                                                                          
         6.1        1.06     -0.0022      0.0000      0.0098       0.000       0.000       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0649       0.000       0.010       0.019                                                                          
         0.4        0.04      0.0636      0.1148      0.0662       0.000       0.010       0.019                                                                          
         0.8        0.07      0.1246      0.1147      0.0676       0.000       0.011       0.019                                                                          
         1.3        0.11      0.1829      0.1147      0.0690       0.000       0.011       0.019                                                                          
         1.7        0.15      0.2385      0.1146      0.0705       0.000       0.011       0.019                                                                          
         2.1        0.18      0.2916      0.1144      0.0720       0.000       0.011       0.019                                                                          
         2.5        0.22      0.3420      0.1142      0.0735       0.000       0.012       0.019                                                                          
         2.9        0.26      0.3899      0.1139      0.0751       0.000       0.012       0.019                                                                          
         3.3        0.29      0.4353      0.1134      0.0765       0.000       0.012       0.019                                                                          
         3.8        0.33      0.4782      0.1127      0.0778       0.000       0.012       0.019                                                                          
         4.2        0.37      0.5187      0.1116      0.0789       0.000       0.012       0.018                                                                          
         4.6        0.40      0.5567      0.1101      0.0798       0.000       0.013       0.018                                                                          
         5.0        0.44      0.5923      0.1080      0.0803       0.000       0.013       0.018                                                                          
         5.4        0.48      0.6253      0.1054      0.0804       0.000       0.013       0.017                                                                          
         5.8        0.51      0.6556      0.1022      0.0800       0.000       0.013       0.017                                                                          
         6.3        0.55      0.6830      0.0981      0.0790       0.000       0.012       0.016                                                                          
         6.7        0.59      0.7072      0.0931      0.0773       0.000       0.012       0.015                                                                          
         7.1        0.62      0.7276      0.0870      0.0746       0.000       0.012       0.014                                                                          
         7.5        0.66      0.7437      0.0805      0.0714       0.000       0.011       0.013                                                                          
         7.9        0.70      0.7557      0.0738      0.0681       0.000       0.011       0.012                                                                          
         8.3        0.73      0.7626      0.0669      0.0644       0.000       0.010       0.011                                                                          
         8.8        0.77      0.7649      0.0599      0.0603       0.000       0.010       0.010                                                                          
         9.2        0.81      0.7636      0.0528      0.0558       0.000       0.009       0.009                                                                          
         9.6        0.84      0.7588      0.0455      0.0506       0.000       0.008       0.008                                                                          
        10.0        0.88      0.7496      0.0382      0.0448       0.000       0.007       0.006                                                                          
        10.4        0.92      0.7322      0.0307      0.0385       0.000       0.006       0.005                                                                          
        10.8        0.95      0.6992      0.0232      0.0316       0.000       0.005       0.004                                                                          
        11.3        0.99      0.6291      0.0156      0.0245       0.000       0.004       0.003                                                                          
        11.7        1.03      0.4702      0.0079      0.0172       0.000       0.003       0.001                                                                          
        12.1        1.06     -0.0020      0.0000      0.0098       0.000       0.002       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0645       0.001       0.023       0.043                                                                          
         0.6        0.04      0.0640      0.1148      0.0658       0.001       0.023       0.043                                                                          
         1.2        0.07      0.1252      0.1147      0.0671       0.001       0.024       0.043                                                                          
         1.9        0.11      0.1838      0.1147      0.0686       0.001       0.024       0.043                                                                          
         2.5        0.15      0.2397      0.1146      0.0701       0.001       0.025       0.043                                                                          
         3.1        0.18      0.2929      0.1144      0.0716       0.001       0.025       0.043                                                                          
         3.7        0.22      0.3436      0.1142      0.0731       0.001       0.026       0.042                                                                          
         4.4        0.26      0.3917      0.1139      0.0746       0.001       0.026       0.042                                                                          
         5.0        0.29      0.4372      0.1134      0.0760       0.001       0.027       0.042                                                                          
         5.6        0.33      0.4803      0.1126      0.0773       0.001       0.027       0.042                                                                          
         6.2        0.37      0.5212      0.1115      0.0784       0.001       0.028       0.041                                                                          
         6.9        0.40      0.5598      0.1100      0.0792       0.001       0.028       0.041                                                                          
         7.5        0.44      0.5956      0.1079      0.0797       0.001       0.028       0.040                                                                          
         8.1        0.48      0.6282      0.1053      0.0799       0.001       0.028       0.039                                                                          
         8.7        0.51      0.6574      0.1020      0.0796       0.001       0.028       0.038                                                                          
         9.4        0.55      0.6838      0.0980      0.0788       0.001       0.028       0.036                                                                          
        10.0        0.59      0.7076      0.0930      0.0771       0.001       0.027       0.035                                                                          
        10.6        0.62      0.7289      0.0870      0.0743       0.001       0.026       0.032                                                                          
        11.2        0.66      0.7453      0.0806      0.0713       0.001       0.025       0.030                                                                          
        11.9        0.70      0.7553      0.0739      0.0681       0.001       0.024       0.027                                                                          
        12.5        0.73      0.7619      0.0671      0.0646       0.001       0.023       0.025                                                                          
        13.1        0.77      0.7648      0.0602      0.0605       0.001       0.021       0.022                                                                          
        13.7        0.81      0.7634      0.0531      0.0560       0.001       0.020       0.020                                                                          
        14.4        0.84      0.7582      0.0458      0.0509       0.001       0.018       0.017                                                                          
        15.0        0.88      0.7483      0.0384      0.0451       0.001       0.016       0.014                                                                          
        15.6        0.92      0.7302      0.0309      0.0388       0.001       0.014       0.011                                                                          
        16.2        0.95      0.6959      0.0234      0.0320       0.001       0.011       0.009                                                                          
        16.9        0.99      0.6235      0.0157      0.0249       0.000       0.009       0.006                                                                          
        17.5        1.03      0.4603      0.0079      0.0176       0.000       0.006       0.003                                                                          
        18.1        1.06     -0.0019      0.0000      0.0101       0.000       0.004       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0645       0.003       0.041       0.076                                                                          
         0.8        0.04      0.0639      0.1148      0.0658       0.003       0.042       0.076                                                                          
         1.7        0.07      0.1252      0.1147      0.0672       0.003       0.042       0.076                                                                          
         2.5        0.11      0.1837      0.1147      0.0686       0.003       0.043       0.076                                                                          
         3.3        0.15      0.2396      0.1146      0.0701       0.003       0.044       0.076                                                                          
         4.2        0.18      0.2928      0.1144      0.0716       0.003       0.045       0.076                                                                          
         5.0        0.22      0.3435      0.1143      0.0731       0.003       0.046       0.075                                                                          
         5.8        0.26      0.3915      0.1139      0.0747       0.003       0.047       0.075                                                                          
         6.7        0.29      0.4370      0.1134      0.0761       0.003       0.048       0.075                                                                          
         7.5        0.33      0.4802      0.1127      0.0774       0.003       0.049       0.074                                                                          
         8.3        0.37      0.5210      0.1116      0.0785       0.003       0.049       0.074                                                                          
         9.2        0.40      0.5596      0.1100      0.0793       0.003       0.050       0.073                                                                          
        10.0        0.44      0.5955      0.1080      0.0798       0.003       0.050       0.071                                                                          
        10.8        0.48      0.6281      0.1054      0.0799       0.003       0.050       0.070                                                                          
        11.7        0.51      0.6573      0.1021      0.0797       0.003       0.050       0.067                                                                          
        12.5        0.55      0.6837      0.0981      0.0788       0.003       0.050       0.065                                                                          
        13.3        0.59      0.7076      0.0931      0.0771       0.003       0.049       0.061                                                                          
        14.2        0.62      0.7289      0.0871      0.0744       0.003       0.047       0.058                                                                          
        15.0        0.66      0.7453      0.0807      0.0714       0.003       0.045       0.053                                                                          
        15.8        0.70      0.7553      0.0740      0.0682       0.003       0.043       0.049                                                                          
        16.7        0.73      0.7619      0.0672      0.0646       0.003       0.041       0.044                                                                          
        17.5        0.77      0.7648      0.0602      0.0606       0.002       0.038       0.040                                                                          
        18.3        0.81      0.7635      0.0531      0.0561       0.002       0.035       0.035                                                                          
        19.2        0.84      0.7583      0.0458      0.0509       0.002       0.032       0.030                                                                          
        20.0        0.88      0.7483      0.0384      0.0452       0.002       0.028       0.025                                                                          
        20.8        0.92      0.7303      0.0309      0.0388       0.002       0.024       0.020                                                                          
        21.7        0.95      0.6961      0.0234      0.0320       0.001       0.020       0.015                                                                          
        22.5        0.99      0.6238      0.0157      0.0249       0.001       0.016       0.010                                                                          
        23.3        1.03      0.4605      0.0079      0.0176       0.001       0.011       0.005                                                                          
        24.2        1.06     -0.0013      0.0000      0.0101       0.000       0.006       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0646       0.005       0.064       0.119                                                                          
         1.0        0.04      0.0639      0.1148      0.0659       0.005       0.065       0.118                                                                          
         2.1        0.07      0.1251      0.1147      0.0673       0.005       0.066       0.118                                                                          
         3.1        0.11      0.1836      0.1147      0.0687       0.005       0.068       0.118                                                                          
         4.2        0.15      0.2395      0.1146      0.0702       0.005       0.069       0.118                                                                          
         5.2        0.18      0.2927      0.1145      0.0717       0.006       0.071       0.118                                                                          
         6.2        0.22      0.3433      0.1143      0.0732       0.006       0.072       0.118                                                                          
         7.3        0.26      0.3913      0.1140      0.0747       0.006       0.074       0.118                                                                          
         8.3        0.29      0.4369      0.1135      0.0761       0.006       0.075       0.117                                                                          
         9.4        0.33      0.4800      0.1127      0.0774       0.006       0.076       0.116                                                                          
        10.4        0.37      0.5209      0.1116      0.0785       0.006       0.077       0.115                                                                          
        11.5        0.40      0.5595      0.1101      0.0793       0.006       0.078       0.114                                                                          
        12.5        0.44      0.5954      0.1081      0.0798       0.006       0.079       0.112                                                                          
        13.5        0.48      0.6279      0.1055      0.0800       0.006       0.079       0.109                                                                          
        14.6        0.51      0.6572      0.1022      0.0798       0.006       0.079       0.105                                                                          
        15.6        0.55      0.6836      0.0982      0.0789       0.006       0.078       0.101                                                                          
        16.7        0.59      0.7076      0.0932      0.0772       0.006       0.076       0.096                                                                          
        17.7        0.62      0.7290      0.0872      0.0745       0.006       0.073       0.090                                                                          
        18.7        0.66      0.7453      0.0807      0.0715       0.006       0.070       0.083                                                                          
        19.8        0.70      0.7554      0.0741      0.0683       0.005       0.067       0.076                                                                          
        20.8        0.73      0.7620      0.0672      0.0647       0.005       0.064       0.069                                                                          
        21.9        0.77      0.7649      0.0603      0.0606       0.005       0.060       0.062                                                                          
        22.9        0.81      0.7636      0.0531      0.0561       0.004       0.055       0.055                                                                          
        23.9        0.84      0.7584      0.0459      0.0510       0.004       0.050       0.047                                                                          
        25.0        0.88      0.7484      0.0385      0.0452       0.004       0.045       0.040                                                                          
        26.0        0.92      0.7304      0.0310      0.0388       0.003       0.038       0.032                                                                          
        27.1        0.95      0.6961      0.0234      0.0320       0.003       0.032       0.024                                                                          
        28.1        0.99      0.6241      0.0157      0.0249       0.002       0.025       0.016                                                                          
        29.2        1.03      0.4613      0.0079      0.0177       0.001       0.017       0.008                                                                          
        30.2        1.06     -0.0008      0.0000      0.0101       0.001       0.010       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0646       0.009       0.092       0.171                                                                          
         1.2        0.04      0.0638      0.1148      0.0659       0.009       0.094       0.171                                                                          
         2.5        0.07      0.1250      0.1148      0.0673       0.009       0.096       0.171                                                                          
         3.7        0.11      0.1835      0.1147      0.0687       0.009       0.098       0.170                                                                          
         5.0        0.15      0.2393      0.1146      0.0702       0.009       0.100       0.170                                                                          
         6.2        0.18      0.2925      0.1145      0.0717       0.010       0.102       0.170                                                                          
         7.5        0.22      0.3430      0.1143      0.0733       0.010       0.104       0.170                                                                          
         8.7        0.26      0.3911      0.1140      0.0748       0.010       0.106       0.169                                                                          
        10.0        0.29      0.4366      0.1135      0.0762       0.010       0.108       0.169                                                                          
        11.2        0.33      0.4798      0.1128      0.0775       0.010       0.110       0.168                                                                          
        12.5        0.37      0.5206      0.1117      0.0786       0.011       0.112       0.166                                                                          
        13.7        0.40      0.5592      0.1102      0.0794       0.011       0.113       0.164                                                                          
        15.0        0.44      0.5951      0.1082      0.0800       0.011       0.113       0.161                                                                          
        16.2        0.48      0.6277      0.1056      0.0801       0.011       0.114       0.157                                                                          
        17.5        0.51      0.6570      0.1023      0.0799       0.011       0.113       0.152                                                                          
        18.7        0.55      0.6835      0.0983      0.0790       0.011       0.112       0.146                                                                          
        20.0        0.59      0.7075      0.0933      0.0774       0.010       0.110       0.139                                                                          
        21.2        0.62      0.7289      0.0873      0.0746       0.010       0.106       0.130                                                                          
        22.5        0.66      0.7453      0.0809      0.0716       0.010       0.102       0.120                                                                          
        23.7        0.70      0.7554      0.0742      0.0684       0.009       0.097       0.110                                                                          
        25.0        0.73      0.7621      0.0673      0.0648       0.009       0.092       0.100                                                                          
        26.2        0.77      0.7650      0.0604      0.0607       0.008       0.086       0.090                                                                          
        27.5        0.81      0.7637      0.0532      0.0562       0.008       0.080       0.079                                                                          
        28.7        0.84      0.7585      0.0459      0.0510       0.007       0.072       0.068                                                                          
        30.0        0.88      0.7486      0.0385      0.0453       0.006       0.064       0.057                                                                          
        31.2        0.92      0.7306      0.0310      0.0389       0.005       0.055       0.046                                                                          
        32.5        0.95      0.6964      0.0234      0.0321       0.004       0.046       0.035                                                                          
        33.7        0.99      0.6244      0.0158      0.0250       0.003       0.035       0.023                                                                          
        35.0        1.03      0.4613      0.0079      0.0177       0.002       0.025       0.012                                                                          
        36.2        1.06     -0.0008      0.0000      0.0101       0.001       0.014       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       7000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0647       0.014       0.125       0.232                                                                          
         1.5        0.04      0.0637      0.1148      0.0660       0.014       0.128       0.232                                                                          
         2.9        0.07      0.1248      0.1148      0.0674       0.014       0.130       0.232                                                                          
         4.4        0.11      0.1832      0.1147      0.0688       0.015       0.133       0.232                                                                          
         5.8        0.15      0.2390      0.1146      0.0703       0.015       0.136       0.232                                                                          
         7.3        0.18      0.2922      0.1145      0.0718       0.015       0.139       0.232                                                                          
         8.7        0.22      0.3427      0.1143      0.0734       0.016       0.142       0.231                                                                          
        10.2        0.26      0.3907      0.1141      0.0749       0.016       0.145       0.231                                                                          
        11.7        0.29      0.4363      0.1136      0.0763       0.016       0.147       0.230                                                                          
        13.1        0.33      0.4794      0.1129      0.0776       0.017       0.150       0.228                                                                          
        14.6        0.37      0.5203      0.1118      0.0787       0.017       0.152       0.226                                                                          
        16.0        0.40      0.5589      0.1103      0.0796       0.017       0.154       0.223                                                                          
        17.5        0.44      0.5948      0.1083      0.0801       0.017       0.155       0.219                                                                          
        18.9        0.48      0.6274      0.1057      0.0803       0.017       0.155       0.214                                                                          
        20.4        0.51      0.6567      0.1025      0.0801       0.017       0.155       0.207                                                                          
        21.9        0.55      0.6833      0.0984      0.0792       0.017       0.153       0.199                                                                          
        23.3        0.59      0.7073      0.0935      0.0775       0.017       0.150       0.189                                                                          
        24.8        0.62      0.7289      0.0874      0.0747       0.016       0.144       0.177                                                                          
        26.2        0.66      0.7453      0.0810      0.0717       0.015       0.138       0.164                                                                          
        27.7        0.70      0.7554      0.0743      0.0685       0.015       0.132       0.150                                                                          
        29.1        0.73      0.7621      0.0675      0.0649       0.014       0.125       0.137                                                                          
        30.6        0.77      0.7651      0.0605      0.0608       0.013       0.118       0.122                                                                          
        32.1        0.81      0.7638      0.0534      0.0563       0.012       0.109       0.108                                                                          
        33.5        0.84      0.7587      0.0460      0.0512       0.011       0.099       0.093                                                                          
        35.0        0.88      0.7488      0.0386      0.0454       0.010       0.088       0.078                                                                          
        36.4        0.92      0.7309      0.0311      0.0390       0.008       0.075       0.063                                                                          
        37.9        0.95      0.6970      0.0235      0.0322       0.007       0.062       0.048                                                                          
        39.4        0.99      0.6251      0.0158      0.0250       0.005       0.048       0.032                                                                          
        40.8        1.03      0.4620      0.0080      0.0177       0.004       0.034       0.016                                                                          
        42.3        1.06     -0.0013      0.0000      0.0101       0.002       0.019       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       8000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0648       0.021       0.163       0.303                                                                          
         1.7        0.04      0.0636      0.1148      0.0661       0.021       0.167       0.303                                                                          
         3.3        0.07      0.1247      0.1148      0.0675       0.022       0.170       0.303                                                                          
