         6x4.2E-3                 (6x42E-3.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
         5.0        0.88      0.2926      0.0092      0.0277       0.000       0.001       0.000       0.013       0.000       0.002      13.399        0.02       4967.  
         5.2        0.91     -0.0022      0.0000      0.0200       0.000       0.001       0.000       0.009       0.000       0.000      -0.099        0.02       4989.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1953      0.1018       0.001       0.016       0.032       0.380       0.002       0.143      38.521        0.05       9311.  
         0.4        0.03      0.0581      0.1926      0.1031       0.001       0.016       0.032       0.385       0.002       0.141      37.500        0.05       9312.  
         0.7        0.06      0.1131      0.1896      0.1043       0.001       0.016       0.031       0.389       0.002       0.139      36.494        0.05       9314.  
         1.1        0.09      0.1651      0.1863      0.1053       0.001       0.017       0.031       0.393       0.002       0.137      35.506        0.05       9319.  
         1.4        0.12      0.2141      0.1827      0.1062       0.001       0.017       0.030       0.396       0.002       0.134      34.534        0.05       9324.  
         1.8        0.16      0.2602      0.1787      0.1068       0.001       0.017       0.030       0.399       0.002       0.131      33.574        0.05       9332.  
         2.1        0.19      0.3033      0.1744      0.1073       0.001       0.017       0.029       0.401       0.002       0.128      32.620        0.05       9340.  
         2.5        0.22      0.3436      0.1698      0.1076       0.001       0.017       0.028       0.402       0.002       0.125      31.670        0.05       9351.  
         2.8        0.25      0.3810      0.1648      0.1077       0.001       0.017       0.027       0.402       0.002       0.121      30.729        0.05       9363.  
         3.2        0.28      0.4157      0.1594      0.1073       0.001       0.017       0.026       0.401       0.002       0.117      29.806        0.05       9377.  
         3.5        0.31      0.4477      0.1535      0.1067       0.001       0.017       0.025       0.398       0.002       0.113      28.887        0.05       9392.  
         3.9        0.34      0.4770      0.1473      0.1056       0.001       0.017       0.024       0.394       0.002       0.108      27.984        0.05       9409.  
         4.2        0.37      0.5037      0.1408      0.1044       0.001       0.016       0.023       0.389       0.002       0.103      27.087        0.05       9427.  
         4.6        0.40      0.5277      0.1342      0.1028       0.001       0.016       0.022       0.384       0.002       0.099      26.196        0.05       9447.  
         4.9        0.44      0.5495      0.1274      0.1009       0.001       0.016       0.021       0.377       0.002       0.094      25.326        0.05       9469.  
         5.3        0.47      0.5700      0.1202      0.0984       0.000       0.016       0.020       0.367       0.002       0.088      24.523        0.05       9492.  
         5.7        0.50      0.5894      0.1129      0.0954       0.000       0.015       0.019       0.356       0.002       0.083      23.769        0.05       9517.  
         6.0        0.53      0.6062      0.1055      0.0920       0.000       0.015       0.017       0.343       0.002       0.077      23.010        0.05       9543.  
         6.4        0.56      0.6204      0.0978      0.0883       0.000       0.014       0.016       0.329       0.002       0.072      22.239        0.05       9571.  
         6.7        0.59      0.6316      0.0899      0.0842       0.000       0.013       0.015       0.314       0.001       0.066      21.450        0.05       9600.  
         7.1        0.62      0.6395      0.0819      0.0796       0.000       0.013       0.014       0.297       0.001       0.060      20.634        0.05       9630.  
         7.4        0.65      0.6437      0.0736      0.0747       0.000       0.012       0.012       0.279       0.001       0.054      19.778        0.05       9662.  
         7.8        0.68      0.6431      0.0651      0.0693       0.000       0.011       0.011       0.258       0.001       0.048      18.864        0.05       9696.  
         8.1        0.72      0.6366      0.0564      0.0634       0.000       0.010       0.009       0.237       0.001       0.041      17.861        0.05       9731.  
         8.5        0.75      0.6214      0.0475      0.0571       0.000       0.009       0.008       0.213       0.001       0.035      16.707        0.05       9767.  
         8.8        0.78      0.5924      0.0384      0.0504       0.000       0.008       0.006       0.188       0.001       0.028      15.291        0.05       9805.  
         9.2        0.81      0.5425      0.0291      0.0433       0.000       0.007       0.005       0.162       0.001       0.021      13.465        0.05       9844.  
         9.5        0.84      0.4574      0.0196      0.0359       0.000       0.006       0.003       0.134       0.001       0.014      10.933        0.05       9885.  
         9.9        0.87      0.3051      0.0098      0.0281       0.000       0.004       0.002       0.105       0.001       0.007       7.031        0.05       9927.  
        10.3        0.90     -0.0014      0.0000      0.0200       0.000       0.003       0.000       0.075       0.000       0.000      -0.031        0.05       9970.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1951      0.1017       0.002       0.036       0.072       1.280       0.004       0.322      25.684        0.07      13967.  
         0.5        0.03      0.0576      0.1924      0.1029       0.002       0.037       0.071       1.296       0.004       0.318      25.009        0.07      13968.  
         1.1        0.06      0.1121      0.1894      0.1041       0.002       0.037       0.070       1.311       0.004       0.313      24.342        0.07      13972.  
         1.6        0.09      0.1636      0.1861      0.1051       0.002       0.037       0.069       1.324       0.004       0.308      23.683        0.07      13978.  
         2.1        0.12      0.2121      0.1825      0.1060       0.002       0.038       0.068       1.335       0.004       0.302      23.029        0.07      13986.  
         2.6        0.15      0.2576      0.1785      0.1067       0.002       0.038       0.066       1.344       0.004       0.295      22.378        0.07      13997.  
         3.2        0.18      0.3001      0.1742      0.1073       0.002       0.038       0.065       1.351       0.004       0.288      21.729        0.07      14010.  
         3.7        0.22      0.3398      0.1695      0.1076       0.002       0.038       0.063       1.355       0.004       0.280      21.084        0.07      14025.  
         4.2        0.25      0.3767      0.1645      0.1076       0.002       0.038       0.061       1.356       0.004       0.272      20.454        0.07      14043.  
         4.7        0.28      0.4112      0.1592      0.1073       0.002       0.038       0.059       1.352       0.004       0.263      19.849        0.07      14063.  
         5.3        0.31      0.4434      0.1532      0.1065       0.002       0.038       0.057       1.341       0.004       0.253      19.263        0.07      14086.  
         5.8        0.34      0.4731      0.1470      0.1053       0.002       0.037       0.055       1.326       0.004       0.243      18.683        0.07      14111.  
         6.3        0.37      0.5002      0.1406      0.1039       0.002       0.037       0.052       1.309       0.004       0.232      18.107        0.07      14138.  
         6.8        0.40      0.5247      0.1340      0.1023       0.002       0.036       0.050       1.288       0.004       0.221      17.534        0.07      14167.  
         7.4        0.43      0.5469      0.1272      0.1003       0.002       0.036       0.047       1.263       0.004       0.210      16.968        0.07      14199.  
         7.9        0.46      0.5672      0.1201      0.0979       0.002       0.035       0.045       1.232       0.004       0.199      16.427        0.07      14233.  
         8.4        0.49      0.5867      0.1129      0.0948       0.002       0.034       0.042       1.194       0.004       0.187      15.928        0.07      14269.  
         8.9        0.52      0.6037      0.1054      0.0914       0.002       0.032       0.039       1.151       0.004       0.174      15.425        0.07      14308.  
         9.5        0.55      0.6180      0.0977      0.0877       0.001       0.031       0.036       1.105       0.004       0.162      14.914        0.07      14348.  
        10.0        0.59      0.6294      0.0899      0.0836       0.001       0.030       0.033       1.053       0.003       0.149      14.391        0.07      14391.  
        10.5        0.62      0.6376      0.0819      0.0791       0.001       0.028       0.030       0.997       0.003       0.135      13.849        0.07      14436.  
        11.0        0.65      0.6420      0.0736      0.0742       0.001       0.026       0.027       0.934       0.003       0.122      13.280        0.07      14484.  
        11.6        0.68      0.6418      0.0652      0.0688       0.001       0.024       0.024       0.867       0.003       0.108      12.672        0.07      14533.  
        12.1        0.71      0.6356      0.0565      0.0630       0.001       0.022       0.021       0.793       0.003       0.093      12.005        0.07      14585.  
        12.6        0.74      0.6209      0.0476      0.0567       0.001       0.020       0.018       0.714       0.002       0.079      11.239        0.07      14638.  
        13.1        0.77      0.5926      0.0385      0.0500       0.001       0.018       0.014       0.630       0.002       0.064      10.297        0.07      14694.  
        13.7        0.80      0.5431      0.0291      0.0430       0.001       0.015       0.011       0.541       0.002       0.048       9.074        0.07      14752.  
        14.2        0.83      0.4582      0.0196      0.0356       0.001       0.013       0.007       0.448       0.001       0.032       7.372        0.07      14812.  
        14.7        0.86      0.3057      0.0099      0.0278       0.000       0.010       0.004       0.350       0.001       0.016       4.743        0.07      14873.  
        15.2        0.89     -0.0027     -0.0001      0.0198       0.000       0.007       0.000       0.249       0.001       0.000      -0.040        0.07      14937.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1952      0.1017       0.004       0.064       0.129       3.037       0.007       0.574      19.261        0.10      18622.  
         0.7        0.03      0.0572      0.1925      0.1030       0.004       0.065       0.127       3.075       0.007       0.566      18.758        0.10      18624.  
         1.4        0.06      0.1115      0.1895      0.1041       0.004       0.066       0.125       3.108       0.007       0.557      18.263        0.10      18629.  
         2.1        0.09      0.1627      0.1862      0.1051       0.004       0.066       0.123       3.138       0.007       0.547      17.773        0.10      18637.  
         2.8        0.12      0.2110      0.1826      0.1060       0.004       0.067       0.121       3.164       0.008       0.536      17.286        0.10      18648.  
         3.5        0.15      0.2564      0.1786      0.1067       0.004       0.067       0.118       3.186       0.008       0.525      16.801        0.10      18662.  
         4.2        0.18      0.2988      0.1743      0.1072       0.004       0.068       0.115       3.200       0.008       0.512      16.319        0.10      18679.  
         4.9        0.21      0.3384      0.1696      0.1075       0.004       0.068       0.112       3.209       0.008       0.498      15.839        0.10      18699.  
         5.6        0.25      0.3752      0.1647      0.1076       0.004       0.068       0.109       3.211       0.008       0.484      15.369        0.10      18723.  
         6.3        0.28      0.4098      0.1593      0.1072       0.004       0.068       0.105       3.200       0.008       0.468      14.918        0.10      18750.  
         7.0        0.31      0.4419      0.1534      0.1064       0.004       0.067       0.101       3.175       0.008       0.451      14.479        0.10      18779.  
         7.7        0.34      0.4715      0.1472      0.1051       0.004       0.066       0.097       3.139       0.007       0.432      14.046        0.10      18812.  
         8.4        0.37      0.4986      0.1408      0.1038       0.004       0.065       0.093       3.097       0.007       0.414      13.615        0.10      18848.  
         9.0        0.40      0.5232      0.1341      0.1021       0.004       0.064       0.089       3.048       0.007       0.394      13.187        0.10      18887.  
         9.7        0.43      0.5453      0.1274      0.1002       0.004       0.063       0.084       2.990       0.007       0.374      12.762        0.10      18928.  
        10.4        0.46      0.5656      0.1203      0.0977       0.004       0.062       0.079       2.917       0.007       0.353      12.354        0.10      18973.  
        11.1        0.49      0.5851      0.1130      0.0947       0.004       0.060       0.075       2.826       0.007       0.332      11.981        0.10      19021.  
        11.8        0.52      0.6021      0.1056      0.0913       0.004       0.058       0.070       2.725       0.007       0.310      11.606        0.10      19072.  
        12.5        0.55      0.6166      0.0979      0.0876       0.004       0.055       0.065       2.614       0.006       0.288      11.224        0.10      19126.  
        13.2        0.58      0.6281      0.0901      0.0835       0.003       0.053       0.060       2.492       0.006       0.265      10.833        0.10      19182.  
        13.9        0.61      0.6365      0.0821      0.0790       0.003       0.050       0.054       2.359       0.006       0.241      10.428        0.10      19242.  
        14.6        0.64      0.6411      0.0739      0.0741       0.003       0.047       0.049       2.212       0.005       0.217      10.002        0.10      19304.  
        15.3        0.67      0.6410      0.0654      0.0687       0.003       0.043       0.043       2.052       0.005       0.192       9.547        0.10      19369.  
        16.0        0.70      0.6352      0.0567      0.0629       0.003       0.040       0.037       1.878       0.004       0.167       9.049        0.10      19437.  
        16.7        0.74      0.6210      0.0479      0.0567       0.002       0.036       0.032       1.692       0.004       0.141       8.478        0.10      19508.  
        17.4        0.77      0.5934      0.0388      0.0500       0.002       0.032       0.026       1.493       0.004       0.114       7.777        0.10      19581.  
        18.1        0.80      0.5440      0.0293      0.0430       0.002       0.027       0.019       1.283       0.003       0.086       6.855        0.10      19657.  
        18.8        0.83      0.4591      0.0197      0.0356       0.001       0.022       0.013       1.061       0.003       0.058       5.571        0.10      19736.  
        19.5        0.86      0.3066      0.0099      0.0278       0.001       0.018       0.007       0.830       0.002       0.029       3.588        0.10      19818.  
        20.2        0.89     -0.0015      0.0000      0.0198       0.001       0.013       0.000       0.592       0.001       0.000      -0.017        0.10      19902.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1954      0.1018       0.008       0.100       0.202       5.938       0.011       0.897      15.407        0.12      23278.  
         0.9        0.03      0.0571      0.1927      0.1031       0.008       0.102       0.199       6.011       0.011       0.885      15.006        0.12      23280.  
         1.7        0.06      0.1113      0.1897      0.1042       0.008       0.103       0.196       6.077       0.012       0.871      14.610        0.12      23286.  
         2.6        0.09      0.1624      0.1864      0.1052       0.008       0.104       0.192       6.136       0.012       0.856      14.219        0.12      23296.  
         3.5        0.12      0.2106      0.1828      0.1061       0.008       0.105       0.189       6.186       0.012       0.839      13.831        0.12      23309.  
         4.3        0.15      0.2559      0.1788      0.1068       0.008       0.105       0.185       6.226       0.012       0.821      13.444        0.12      23327.  
         5.2        0.18      0.2983      0.1745      0.1073       0.008       0.106       0.180       6.256       0.012       0.801      13.058        0.12      23349.  
         6.1        0.21      0.3378      0.1698      0.1076       0.008       0.106       0.175       6.273       0.012       0.780      12.675        0.12      23374.  
         6.9        0.24      0.3747      0.1648      0.1076       0.008       0.106       0.170       6.274       0.012       0.757      12.300        0.12      23403.  
         7.8        0.28      0.4091      0.1595      0.1073       0.008       0.106       0.165       6.254       0.012       0.732      11.939        0.12      23436.  
         8.7        0.31      0.4413      0.1536      0.1064       0.008       0.105       0.158       6.203       0.012       0.705      11.590        0.12      23473.  
         9.6        0.34      0.4710      0.1473      0.1052       0.008       0.104       0.152       6.132       0.012       0.676      11.245        0.12      23514.  
        10.4        0.37      0.4981      0.1408      0.1037       0.008       0.102       0.145       6.048       0.012       0.647      10.901        0.12      23559.  
        11.3        0.40      0.5227      0.1342      0.1020       0.008       0.101       0.139       5.950       0.011       0.616      10.559        0.12      23607.  
        12.2        0.43      0.5448      0.1274      0.1001       0.008       0.099       0.131       5.836       0.011       0.585      10.220        0.12      23659.  
        13.0        0.46      0.5650      0.1203      0.0977       0.008       0.096       0.124       5.694       0.011       0.552       9.893        0.12      23715.  
        13.9        0.49      0.5845      0.1130      0.0946       0.007       0.093       0.117       5.515       0.011       0.519       9.595        0.12      23774.  
        14.8        0.52      0.6016      0.1056      0.0912       0.007       0.090       0.109       5.317       0.010       0.485       9.295        0.12      23838.  
        15.6        0.55      0.6161      0.0979      0.0874       0.007       0.086       0.101       5.098       0.010       0.449       8.989        0.12      23904.  
        16.5        0.58      0.6277      0.0901      0.0833       0.007       0.082       0.093       4.859       0.009       0.413       8.676        0.12      23975.  
        17.4        0.61      0.6360      0.0820      0.0788       0.006       0.078       0.085       4.597       0.009       0.377       8.352        0.12      24049.  
        18.2        0.64      0.6406      0.0738      0.0739       0.006       0.073       0.076       4.311       0.008       0.339       8.011        0.12      24127.  
        19.1        0.67      0.6405      0.0653      0.0685       0.005       0.068       0.067       3.997       0.008       0.300       7.647        0.12      24208.  
        20.0        0.70      0.6346      0.0566      0.0627       0.005       0.062       0.058       3.657       0.007       0.260       7.247        0.12      24292.  
        20.8        0.73      0.6203      0.0477      0.0565       0.004       0.056       0.049       3.292       0.006       0.219       6.789        0.12      24381.  
        21.7        0.76      0.5929      0.0386      0.0498       0.004       0.049       0.040       2.905       0.006       0.177       6.229        0.12      24472.  
        22.6        0.79      0.5434      0.0293      0.0428       0.003       0.042       0.030       2.496       0.005       0.134       5.489        0.12      24567.  
        23.4        0.83      0.4584      0.0197      0.0354       0.003       0.035       0.020       2.066       0.004       0.090       4.459        0.12      24665.  
        24.3        0.86      0.3060      0.0099      0.0277       0.002       0.027       0.010       1.618       0.003       0.046       2.870        0.12      24767.  
        25.2        0.89     -0.0010      0.0000      0.0198       0.002       0.020       0.000       1.156       0.002       0.000      -0.009        0.12      24871.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1956      0.1020       0.014       0.145       0.291      10.275       0.016       1.293      12.837        0.14      27934.  
         1.0        0.03      0.0570      0.1929      0.1032       0.014       0.147       0.287      10.400       0.017       1.275      12.504        0.14      27936.  
         2.1        0.06      0.1111      0.1899      0.1044       0.014       0.148       0.282      10.514       0.017       1.255      12.175        0.14      27943.  
         3.1        0.09      0.1622      0.1866      0.1054       0.014       0.150       0.277      10.615       0.017       1.233      11.849        0.14      27955.  
         4.2        0.12      0.2104      0.1830      0.1062       0.014       0.151       0.272      10.701       0.017       1.210      11.526        0.14      27971.  
         5.2        0.15      0.2556      0.1790      0.1069       0.014       0.152       0.266      10.771       0.017       1.183      11.203        0.14      27992.  
         6.2        0.18      0.2979      0.1747      0.1074       0.015       0.152       0.260      10.823       0.017       1.155      10.882        0.14      28018.  
         7.3        0.21      0.3373      0.1700      0.1077       0.015       0.153       0.253      10.853       0.017       1.124      10.562        0.14      28048.  
         8.3        0.24      0.3741      0.1650      0.1077       0.015       0.153       0.245      10.855       0.017       1.091      10.250        0.14      28083.  
         9.4        0.27      0.4086      0.1597      0.1074       0.015       0.152       0.237      10.819       0.017       1.056       9.951        0.14      28123.  
        10.4        0.31      0.4408      0.1538      0.1065       0.014       0.151       0.229      10.730       0.017       1.016       9.660        0.14      28167.  
        11.4        0.34      0.4704      0.1475      0.1053       0.014       0.149       0.219      10.606       0.017       0.975       9.373        0.14      28216.  
        12.5        0.37      0.4976      0.1410      0.1038       0.014       0.147       0.210      10.458       0.017       0.932       9.088        0.14      28269.  
        13.5        0.40      0.5222      0.1343      0.1021       0.014       0.145       0.200      10.286       0.016       0.888       8.804        0.14      28327.  
        14.6        0.43      0.5444      0.1275      0.1001       0.014       0.142       0.190      10.087       0.016       0.843       8.522        0.14      28390.  
        15.6        0.46      0.5646      0.1204      0.0977       0.013       0.139       0.179       9.841       0.016       0.796       8.250        0.14      28456.  
        16.7        0.49      0.5841      0.1131      0.0946       0.013       0.134       0.168       9.529       0.015       0.748       8.002        0.14      28528.  
        17.7        0.52      0.6013      0.1056      0.0911       0.012       0.129       0.157       9.183       0.015       0.698       7.752        0.14      28603.  
        18.7        0.55      0.6158      0.0979      0.0874       0.012       0.124       0.146       8.803       0.014       0.647       7.497        0.14      28683.  
        19.8        0.58      0.6273      0.0900      0.0832       0.011       0.118       0.134       8.387       0.013       0.595       7.237        0.15      28768.  
        20.8        0.61      0.6357      0.0820      0.0787       0.011       0.112       0.122       7.932       0.013       0.542       6.966        0.15      28856.  
        21.9        0.64      0.6402      0.0737      0.0738       0.010       0.105       0.110       7.435       0.012       0.487       6.682        0.15      28949.  
        22.9        0.67      0.6401      0.0652      0.0684       0.009       0.097       0.097       6.891       0.011       0.431       6.377        0.15      29046.  
        23.9        0.70      0.6342      0.0565      0.0625       0.008       0.089       0.084       6.302       0.010       0.374       6.044        0.15      29148.  
        25.0        0.73      0.6199      0.0476      0.0563       0.008       0.080       0.071       5.671       0.009       0.315       5.661        0.15      29253.  
        26.0        0.76      0.5925      0.0385      0.0496       0.007       0.070       0.057       5.002       0.008       0.255       5.194        0.15      29363.  
        27.1        0.79      0.5429      0.0292      0.0427       0.006       0.061       0.043       4.299       0.007       0.193       4.576        0.15      29476.  
        28.1        0.82      0.4576      0.0196      0.0354       0.005       0.050       0.029       3.562       0.006       0.130       3.715        0.15      29594.  
        29.1        0.85      0.3052      0.0099      0.0277       0.004       0.039       0.015       2.792       0.004       0.065       2.389        0.15      29715.  
        30.2        0.89     -0.0009      0.0000      0.0198       0.003       0.028       0.000       1.999       0.003       0.000      -0.007        0.15      29840.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       7000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1959      0.1021       0.022       0.197       0.396      16.339       0.022       1.763      11.000        0.17      32589.  
         1.2        0.03      0.0570      0.1931      0.1034       0.022       0.200       0.391      16.540       0.023       1.738      10.715        0.17      32592.  
         2.4        0.06      0.1111      0.1901      0.1045       0.022       0.202       0.385      16.721       0.023       1.711      10.433        0.17      32600.  
         3.6        0.09      0.1621      0.1868      0.1055       0.023       0.204       0.378      16.880       0.023       1.681      10.154        0.17      32614.  
         4.9        0.12      0.2103      0.1832      0.1064       0.023       0.205       0.371      17.018       0.023       1.648       9.877        0.17      32633.  
         6.1        0.15      0.2555      0.1792      0.1071       0.023       0.207       0.363      17.129       0.023       1.613       9.600        0.17      32658.  
         7.3        0.18      0.2977      0.1749      0.1076       0.023       0.208       0.354      17.214       0.023       1.574       9.324        0.17      32688.  
         8.5        0.21      0.3371      0.1702      0.1079       0.023       0.208       0.344      17.262       0.024       1.532       9.049        0.17      32723.  
         9.7        0.24      0.3739      0.1652      0.1079       0.023       0.208       0.334      17.266       0.024       1.487       8.782        0.17      32764.  
        10.9        0.27      0.4084      0.1599      0.1075       0.023       0.208       0.323      17.206       0.023       1.438       8.525        0.17      32810.  
        12.1        0.31      0.4405      0.1539      0.1066       0.023       0.206       0.311      17.063       0.023       1.385       8.277        0.17      32862.  
